id,name,icaoCode,iataCode,localCode,latitude,longitude,elevation,countryCode,city,state,county,continentCode,timezone,facilityType,isPrivate,isClosed,isMilitary,isCivilian,isVFR,isIFR,pprRequired,geometry
52e2b51b-349b-4eaa-845b-83b7db1fa212,ABARÉ,SDLI,,,-8.739,-39.126,291,BR,,,,,,airfield,false,false,false,true,true,false,false,
1173d0c6-40c2-4f65-98a3-548d44047588,ABBAYE AIRPORT,GQNE,BGH,,16.6333,-14.2,20,MR,,,,,,airfield,false,false,false,true,true,false,false,
41b6d9be-0a82-4e1d-ad91-18abf6535e66,ABBEVILLE,LFOI,,,50.143056,1.8325,67,FR,,,,,,airfield,false,false,false,true,true,false,false,
f3d20d3c-c3ea-47da-b2c5-48150957f431,ABBEYSHRULE,EIAB,,,53.59142222222222,-7.642822222222222,55,IE,,,,,,airfield,false,false,false,true,true,false,false,
4767ed5a-626a-4e75-8158-0c1ea744eb35,ABBOTSFORD,CYXX,YXX,,49.025,-122.361,59,CA,,,,,,airfield,false,false,false,true,true,false,false,
af8c12a8-b692-4aff-afe9-eb2e02bbf9ae,ABBOTTABAD AIRPORT,OPAB,,,34.2,73.25,1241,PK,,,,,,airfield,false,false,false,true,true,false,false,
62859669-e16a-43a4-870c-33989d2275e0,ABBSE AIRPORT,OYAB,EAB,,15.3,43.967,198,YE,,,,,,airfield,false,false,false,true,true,false,false,
ce258d50-284a-45a3-be08-8ab9f8773364,ABDANAN AIRPORT,OICD,,,32.9345,47.4834,792,IR,,,,,,airfield,false,false,false,true,true,false,false,
92af6892-6b40-4f0e-b89d-0fecd81bf38b,ABDUL RACHMAN AIRPORT,WARA,MLG,,-7.9266,112.715,526,ID,,,,,,airfield,false,false,false,true,true,false,false,
d54995ff-e4c0-4f1a-9ed9-39ecdc8d0c65,ABECHE,FTTC,AEH,,13.84741467980163,20.84370475214658,542,TD,,,,,,airport,false,false,false,false,true,true,false,
ed273665-158f-47ac-a57a-2b777ae7a43b,ABEL SANTAMARIA AIRPORT,MUSC,SNU,,22.4922,-79.9436,103,CU,,,,,,airfield,false,false,false,true,true,false,false,
ec15366b-4e13-4ec0-b2f6-2486a1e88599,ABEMAMA ATOLL AIRPORT,NGTB,AEA,,0.4908,173.829,2,KI,,,,,,airfield,false,false,false,true,true,false,false,
65558d0a-dfe1-473c-9325-52321fc4864b,ABERDEEN,FAAE,,,-32.467,24.067,750,ZA,,,,,,airfield,false,false,false,true,true,false,false,
be628f12-613d-4166-8ec3-ed3fb1489b77,ABERDEEN,EGPD,ABZ,,57.2025,-2.1980555555556,66,GB,,,,,,airport,false,false,false,false,true,false,false,
42dbaf4c-a823-407c-8b9d-583aa95ec6e9,ABERDEEN AIRPORT,FVAB,,,-18.167,32.667,1370,ZW,,,,,,airfield,false,false,false,true,true,false,false,
714eb3bc-e63c-4373-82ae-5590e072757b,ABERDEEN REGIONAL AIRPORT,KABR,ABR,,45.4491,-98.4218,397,US,,,,,,airfield,false,false,false,true,true,false,false,
22c03ca0-20c7-4c4d-87be-8afc9f2cc09e,ABERNATHY FIELD,KGZS,GZS,,35.1537,-87.0568,209,US,,,,,,airfield,false,false,false,true,true,false,false,
c76445b2-d20b-4ddc-95a4-a637ac9ba15d,ABHA,OEAB,AHB,,18.2404,42.6566,2090,SA,,,,,,airport,false,false,false,false,true,true,false,
54c1d5fe-0736-4c17-b7c7-0b3f794b1c90,ABILENE REGIONAL AIRPORT,KABI,ABI,,32.4113,-99.6819,546,US,,,,,,airfield,false,false,false,true,true,false,false,
633b2ab6-7c98-42db-b4ec-b56049610c47,ABINGDON,EGUD,,,51.69,-1.317,79,GB,,,,,,airport,false,false,true,false,true,true,false,
c7743a1d-8bf6-4950-bf76-57304a0aeacc,ABINGDON DOWNS,YABI,ABG,,-17.617,143.167,176,AU,,,,,,airfield,false,false,false,true,true,false,false,
d96fb547-4835-4a48-b2e2-41a0a9238024,ABISU AIRFIELD,WPFL,,,-8.4436,126.989,417,TL,,,,,,airfield,false,false,false,true,true,false,false,
de8fed85-38a3-41de-8352-017dfbe755fd,ABONG M BANG AIRPORT,FKAG,,,3.967,13.2,700,CM,,,,,,airfield,false,false,false,true,true,false,false,
c615b764-1d69-4bd8-b4ad-5089c8dba3f6,ABOPO,SLAB,,,-18.632,-62.939,839,BO,,,,,,airfield,false,false,false,true,true,false,false,
2a3baea0-ba50-478c-8540-c7c87adef9ee,ABQAIQ,OEBQ,,,25.9113,49.5912,70,SA,,,,,,airfield,false,false,false,true,true,false,false,
dc3dda07-b741-452e-9ea8-9199c126b8e1,ABRAHAM GONZÁLEZ,MMCS,CJS,,31.6361,-106.429,1190,MX,,,,,,internationalAirport,false,false,false,false,true,true,false,
79f1a1ce-6234-4228-ba62-6ac9514b9dd2,ABRAHAM LINCOLN CAPITAL AIRPORT,KSPI,SPI,,39.8441,-89.6779,182,US,,,,,,airfield,false,false,false,true,true,false,false,
f51ff9e0-f45c-4645-a206-42f84dac84b3,ABRANTES HOSP HEL,LPAB,,,39.4561,-8.1996,109,PT,,,,,,heliport,false,false,false,true,true,false,false,
9c72e377-f649-4463-b5a3-3bd1959a9f9d,ABRESSO AIRPORT,WASC,RSK,,-1.5085,134.187,16,ID,,,,,,airfield,false,false,false,true,true,false,false,
92820bf1-c87c-492a-abc1-61465cb05f0c,ABROLHOS RAT ISLAND,YRAT,,,-28.72,113.784,5,AU,,,,,,airfield,false,false,false,true,true,false,false,
aac6fe0e-fbe2-45a0-af87-6e653fcb8727,ABU ALI,OEAA,,,27.3191,49.5871,21,SA,,,,,,airfield,false,false,false,true,true,false,false,
4bc7ecf6-4c4e-4c26-8773-f21f1b623909,ABU DHABI,OMAA,AUH,,24.433,54.6511,12,AE,,,,,,internationalAirport,false,false,false,false,true,true,false,
10c110aa-929a-48ce-b1fb-1afb86de0e0d,ABU SIMBEL,HEBL,ABS,,22.376,31.6117,151,EG,,,,,,airport,false,false,false,false,true,true,false,
ff53984a-3c20-4ab8-b371-08231536d9bb,ABUJA/NNAMDI AZIKIWE,DNAA,ABV,,9.0068,7.2632,342,NG,,,,,,internationalAirport,false,false,false,false,true,true,false,
96218e56-0fa0-4b20-bd76-7eae91a6b2e1,ABUMUMBAZI AIRPORT,FZFE,,,3.683,22.15,457,CD,,,,,,airfield,false,false,false,true,true,false,false,
8a37b9cb-2f49-455c-b19d-a6071a23c552,ABUMUSA ISLAND AIRPORT,OIBA,AEU,,25.8757,55.033,7,IR,,,,,,airfield,false,false,false,true,true,false,false,
c973aece-c3d7-4c84-bc23-f64d7d04dd38,ACACIA DOWNS,YACS,,,-31.417,141.9,186,AU,,,,,,airfield,false,false,false,true,true,false,false,
78048216-5576-4ae5-9827-cec7dae3c971,ACADEMIA PIRASSUNUNGA,SBYS,QPS,,-21.984444444444,-47.344166666667,602,BR,,,,,,airport,false,false,false,false,true,true,false,
ad7c66ad-43a5-4d77-8ad3-9b5b71f927e9,ACADIANA REGIONAL AIRPORT,KARA,ARA,,30.0378,-91.8839,7,US,,,,,,airfield,false,false,false,true,true,false,false,
c2181350-20ee-4a4d-870a-929d62d32053,ACANDI,SKAD,ACD,,8.498,-77.274,8,CO,,,,,,airfield,false,false,false,true,true,false,false,
69ecaa42-60b7-4f55-a659-0d95f819a627,ACAPULCO,SDGA,,,-23.955,-46.201,11,BR,,,,,,heliport,false,false,false,true,true,false,false,
1d8bfbd9-6a27-4d52-9a64-8028d16fa701,ACARIGUA / BATALLA DE ARAURE,SVAC,AGV,,9.553491087535662,-69.23771626868104,216,VE,,,,,,airport,false,false,false,false,true,true,false,
46e12acb-baec-4b91-8e9f-36a09bcfd798,ACARÍ AIRBASE,SPCR,,,-15.5,-74.667,165,PE,,,,,,airfield,false,false,false,true,true,false,false,
b59675f4-2925-47ad-97a2-bb8133a9c3da,ACCOMACK COUNTY AIRPORT,KMFV,MFV,,37.6469,-75.7611,14,US,,,,,,airfield,false,false,false,true,true,false,false,
f448fd39-e863-4acf-8aa0-d6f29cfdb2fe,ACEGUA,SIAP,,,-31.734,-54.091,178,BR,,,,,,airfield,false,false,false,true,true,false,false,
e45832cc-bd29-4061-9d32-ce3d7c1ceb60,ACENSA AIRPORT,MHAC,,,13.2436,-87.3414,13,HN,,,,,,airfield,false,false,false,true,true,false,false,
109f4385-8928-49a4-8e87-5a4cbaf958fe,ACHAGUAS AIRPORT,SVCH,,,7.74,-68.24,57,VE,,,,,,airfield,false,false,false,true,true,false,false,
3340ef82-8fa6-49c1-99e5-cc9bb54291f6,ACHINSK AIRPORT,UNKS,ACS,,56.2683,90.5708,315,RU,,,,,,airfield,false,false,false,true,true,false,false,
e6bc62d8-4bc9-42bd-9c1b-171ba1a750fc,ACHMAD YANI AIRPORT,WARS,SRG,,-6.9727,110.375,3,ID,,,,,,airfield,false,false,false,true,true,false,false,
74fc9fc8-924e-4cd1-957d-1a27e2a38384,ACHMER,EDXA,,,52.3772,7.9133,54,DE,,,,,,airfield,false,false,false,true,true,false,false,
fbfefbb7-7976-4458-95b3-59188b1b037e,ACHÉ,SDAC,,,-23.474,-46.522,745,BR,,,,,,heliport,false,false,false,true,true,false,false,
7849dd37-e8bc-4546-83ab-1fe8fe686a42,ACORIZAL,SWQM,,,-15.089,-56.373,210,BR,,,,,,airfield,false,false,false,true,true,false,false,
adea008a-e68d-4b1d-a958-b3285ded0810,ADA MUNICIPAL AIRPORT,KADH,ADT,,34.8043,-96.6713,310,US,,,,,,airfield,false,false,false,true,true,false,false,
f80d9ce5-0962-4c7b-b928-a756b8ef4a48,ADABA AIRPORT,HAAD,,,7.05,39.4,2407,ET,,,,,,airfield,false,false,false,true,true,false,false,
204e1008-66c9-49da-a0ae-4a8fd24e051a,ADADO,HCAD,,,6.0960251483599,46.63732553052733,301,SO,,,,,,airfield,false,false,false,true,true,false,false,
86ffab0b-2fd5-4eee-89a6-1b1dd8fbdd70,ADAK,PADK,ADK,,51.88389346006105,-176.6416793851354,10,US,,,,,,airport,false,false,false,false,true,true,false,
91e836e4-a0e3-48f0-bb65-966ac851eaad,ADALBERTO S. MONTURIL,SIGH,,,-16.709,-49.262,841,BR,,,,,,heliport,false,false,false,true,true,false,false,
6c494a80-f0b5-4d39-a018-17c523973752,ADAMINABY,YADY,,,-35.997777777778,148.7975,1020,AU,,,,,,airfield,false,false,false,true,true,false,false,
46d8736b-7c98-495d-aa6b-2ea57cfc9d28,ADAMPUR AIR FORCE STATION,VIAX,AIP,,31.4338,75.7588,236,IN,,,,,,airfield,false,false,false,true,true,false,false,
0f541cbf-9b08-435b-b123-c72f4479a0b3,ADANA,LTAF,ADA,,36.9822,35.2804,20,TR,,,,,,internationalAirport,false,false,false,false,true,true,true,
56fcb1c0-0e02-4e96-91a1-18a3de36c109,ADAREIL,HJAR,,,10.05389,32.95972,397,SS,,,,,,airfield,false,false,false,true,true,false,false,
ca790c6a-e009-4aa2-a97f-6c997bbf2cd4,ADAZI,EVAD,,,57.09861111111111,24.26677777777778,3,LV,,,,,,airfield,false,false,false,true,true,false,false,
28ecc171-d92f-4b28-abde-d68e9437783c,ADDINGTON FIELD,KEKX,EKX,,37.686,-85.925,236,US,,,,,,airfield,false,false,false,true,true,false,false,
a6c20c65-d401-4963-82b4-30331898cda0,ADDISON AIRPORT,KADS,ADS,,32.9686,-96.8364,196,US,,,,,,airfield,false,false,false,true,true,false,false,
